SlidingTackle;GKDiving;GKHandling;GKKicking;GKPositioning;GKReflexes
68;13;15;10;15;10
68;6;11;10;6;14
46;12;12;16;7;8
69;15;13;7;8;10
65;15;10;16;13;6
69;7;14;10;10;9
65;10;16;14;7;12
34;11;8;12;12;8
67;10;9;11;7;15
74;16;11;7;8;9
43;12;14;14;11;6
54;7;11;14;10;7
23;7;9;15;8;12
9;73;70;60;71;69
50;10;8;11;11;12
63;11;15;6;14;7
67;12;14;6;14;9
39;15;14;10;9;13
17;72;71;67;72;71
29;12;9;11;12;8
62;9;10;7;6;9
24;16;15;10;12;11
69;16;9;16;14;12
20;11;6;16;12;16
12;12;10;16;10;13
71;9;8;9;6;6
36;9;8;16;12;13
18;8;6;11;8;8
24;7;11;7;7;13
47;8;14;15;14;9
69;11;9;7;9;12
14;9;8;8;10;12
20;11;11;14;9;6
70;13;10;15;15;16
70;11;13;16;7;9
23;8;9;13;6;7
17;74;68;68;71;72
24;13;7;5;9;14
67;12;13;7;7;16
36;6;11;7;7;15
79;7;7;14;9;11
22;9;9;13;9;12
71;9;8;9;14;11
36;8;8;10;12;12
35;15;16;13;11;10
35;13;16;13;7;9
70;8;9;12;6;10
68;7;12;8;14;11
36;9;12;14;9;8
70;6;11;7;14;16
69;12;15;9;8;13
65;7;6;15;8;7
14;11;15;9;14;10
71;13;13;16;14;14
63;10;14;14;12;9
48;8;10;13;7;7
59;11;12;13;9;9
26;12;6;7;10;8
70;8;10;13;12;10
69;12;9;11;9;7
66;9;15;14;9;10
69;11;8;14;14;13
21;9;10;8;13;8
68;8;9;12;12;14
54;14;9;14;14;7
66;15;9;15;14;7
64;7;16;15;8;12
68;13;12;8;12;11
22;9;13;13;8;7
68;7;12;14;10;11
68;16;13;12;15;14
34;15;8;9;14;16
72;11;13;9;15;11
71;5;4;5;5;4
77;11;7;6;10;14
21;12;15;10;12;13
65;6;11;11;11;10
46;8;10;15;10;9
68;7;10;8;7;11
59;14;8;8;11;13
65;15;13;14;12;10
21;74;66;67;69;75
20;11;10;15;15;6
68;6;10;11;5;6
67;11;11;12;10;16
67;7;9;8;14;13
21;6;7;14;10;9
8;77;61;62;64;77
70;15;10;9;11;11
23;15;15;12;7;7
67;13;12;15;15;7
65;10;13;13;16;13
66;11;8;9;8;15
13;72;70;65;71;71
68;7;13;11;9;11
72;15;9;16;7;12
61;9;11;16;11;15
23;12;9;7;14;8
60;9;7;9;12;11
27;8;9;15;10;11
69;9;8;7;9;9
52;16;8;13;9;10
68;16;14;15;7;11
68;13;16;6;11;14
13;74;68;60;73;74
20;70;72;72;68;72
68;14;12;12;15;12
31;14;15;13;8;10
64;9;6;6;10;11
68;10;14;10;12;10
72;13;14;6;16;16
16;9;15;11;10;9
39;13;16;8;8;13
17;12;11;15;12;16
24;14;15;9;12;15
21;68;76;68;65;73
70;6;13;8;14;12
72;14;8;14;8;7
12;13;11;8;5;7
69;12;9;7;10;8
14;76;67;63;68;74
56;12;6;11;6;10
55;12;8;14;7;9
23;15;12;16;15;15
12;61;77;76;70;73
66;16;15;14;6;14
73;14;11;9;10;13
72;14;14;8;11;8
14;70;73;72;72;69
62;8;4;3;7;7
69;11;12;8;10;16
49;8;11;7;15;13
67;10;7;8;7;12
67;9;6;13;9;13
43;10;6;9;10;15
48;5;9;14;11;14
72;9;14;12;7;10
15;72;69;67;70;71
70;16;10;13;9;14
69;6;8;8;5;10
60;7;7;13;6;9
72;12;8;6;7;10
62;9;12;10;16;15
73;9;6;10;6;6
25;13;8;13;13;6
74;13;9;10;5;8
64;12;15;13;14;10
49;8;14;7;10;6
61;14;12;12;15;10
69;11;10;14;9;7
46;11;12;11;13;13
18;9;7;11;6;16
71;10;12;9;6;10
71;14;13;12;14;7
74;6;8;12;12;13
65;10;12;12;11;12
67;12;14;12;8;8
37;9;16;9;8;11
72;10;11;10;7;13
19;14;13;9;9;8
14;69;77;61;67;68
37;6;15;16;7;6
67;13;12;11;12;13
20;10;9;14;15;6
69;16;12;12;15;12
71;14;6;8;11;15
74;8;16;12;15;8
69;7;13;9;7;13
21;10;8;13;5;8
12;72;69;73;69;72
71;13;16;8;7;13
16;12;7;10;13;14
15;8;6;11;14;8
62;14;12;15;11;5
38;9;10;12;15;13
72;8;9;14;6;9
13;73;66;63;71;74
16;68;68;70;71;74
72;13;12;8;6;8
68;14;8;7;12;10
17;69;71;78;70;71
24;5;5;5;5;5
31;15;16;11;10;11
29;5;5;7;5;4
21;70;72;67;67;73
64;6;13;6;13;11
14;71;67;58;76;72
49;14;6;9;15;8
13;70;69;66;72;71
32;16;15;9;6;11
19;13;12;5;8;15
67;8;6;7;10;6
74;12;9;11;9;7
70;11;7;9;6;12
80;11;7;7;11;15
70;13;9;7;11;8
28;11;6;6;8;9
25;16;8;6;16;10
67;12;6;7;12;14
75;14;8;7;8;7
52;14;12;5;9;11
71;9;9;15;15;11
61;8;15;14;9;6
15;10;15;6;15;13
12;8;7;14;14;7
61;12;9;10;8;15
15;71;66;63;69;74
45;15;14;7;7;10
59;16;7;11;12;13
53;15;9;6;9;13
73;14;11;10;11;11
32;14;11;7;7;14
50;14;12;15;6;8
67;8;12;7;12;12
59;13;9;13;14;12
68;9;15;11;13;16
55;5;13;9;8;11
21;72;68;62;70;74
69;9;8;5;8;11
50;12;16;10;15;8
69;6;6;13;9;12
69;13;15;13;5;6
59;6;6;9;12;11
62;10;6;6;13;13
68;8;12;8;15;10
68;7;11;15;7;6
63;13;14;14;16;8
42;13;14;9;8;14
57;11;11;9;6;14
76;7;8;10;12;7
72;8;8;7;12;8
45;10;11;9;8;14
20;6;9;6;13;9
18;74;67;57;74;75
67;10;7;6;6;5
13;71;69;69;70;73
70;12;16;13;15;10
62;8;9;9;9;12
74;8;8;7;11;9
70;12;12;15;7;10
35;16;6;15;12;13
70;11;8;16;9;9
69;13;14;7;14;13
69;10;11;14;12;16
20;8;16;11;13;6
59;7;12;9;14;7
69;9;15;11;9;9
66;15;11;13;11;11
31;7;13;11;13;9
69;6;12;9;6;7
73;11;11;15;11;13
74;6;6;7;14;15
75;9;10;13;11;12
9;69;74;65;69;72
34;16;15;18;13;10
64;14;14;11;9;10
68;8;9;11;14;9
72;13;14;14;14;12
11;5;11;8;13;12
69;13;12;13;10;8
70;14;11;7;13;12
66;16;11;13;12;16
43;14;7;12;15;6
67;13;7;5;8;15
69;7;13;12;15;7
69;13;12;13;12;14
71;12;7;11;11;11
35;13;9;15;8;11
66;8;7;8;12;12
68;13;14;9;10;7
28;7;8;11;11;8
72;9;14;6;5;11
67;16;12;16;11;12
32;15;8;9;11;7
13;70;72;66;71;68
34;15;13;6;13;9
65;7;12;9;8;14
75;6;6;14;9;14
73;9;7;12;14;13
61;7;7;13;14;10
70;14;10;8;11;6
23;11;8;15;11;7
58;11;12;6;7;11
66;14;11;12;12;12
15;12;13;12;14;10
70;13;8;11;14;10
67;12;13;9;13;16
69;14;10;14;11;11
76;15;15;8;10;16
34;12;11;6;15;6
27;7;8;9;7;7
13;70;68;66;72;71
70;12;10;11;15;6
70;14;10;14;15;15
68;7;7;16;6;6
67;9;11;9;16;8
71;15;9;5;9;15
72;10;7;13;16;9
37;6;7;12;14;12
61;8;11;12;7;9
75;14;18;18;16;11
20;8;14;5;9;9
11;71;72;62;71;70
15;12;12;11;9;11
70;8;9;11;15;10
19;72;67;64;69;75
68;15;11;13;8;8
64;7;14;15;11;8
54;13;13;11;15;10
35;14;14;10;9;12
24;9;15;9;7;10
48;7;11;10;16;7
54;8;12;8;9;14
65;9;9;9;8;10
60;15;9;7;10;13
13;61;73;69;73;70
24;68;67;65;69;74
14;72;69;53;69;76
65;14;14;12;14;15
24;10;14;14;13;7
68;7;16;12;7;14
72;11;7;6;10;12
39;13;9;11;12;13
31;12;9;9;14;10
12;74;70;59;65;76
72;8;6;6;13;15
30;7;14;15;7;7
72;10;10;9;14;13
73;10;9;14;14;11
12;71;70;74;72;69
23;9;11;16;11;12
62;21;17;18;30;33
19;10;11;8;7;15
75;11;6;12;13;7
38;9;10;9;15;15
67;7;7;10;11;11
11;70;64;65;73;74
26;69;68;75;69;74
58;8;7;8;10;12
41;4;4;4;4;4
55;9;9;8;6;7
22;15;10;13;12;12
67;11;9;13;12;11
64;15;6;10;8;16
48;12;15;12;15;10
36;13;12;7;6;14
29;15;6;13;11;11
62;13;8;13;7;13
62;12;11;10;16;7
46;14;12;14;10;10
66;11;12;12;8;14
50;15;7;9;12;9
65;9;8;9;9;12
75;12;11;9;9;10
16;72;65;65;71;74
65;13;13;10;16;6
24;10;12;10;15;15
74;7;9;12;8;14
22;9;15;14;9;10
67;9;8;12;10;15
58;6;7;10;9;13
69;6;10;15;13;13
70;11;13;10;15;15
61;13;13;7;9;13
65;12;7;12;7;10
13;69;71;66;68;69
20;7;6;11;8;6
37;12;11;9;8;15
67;12;8;8;7;13
71;13;15;10;16;16
70;15;12;13;18;16
51;8;11;11;6;9
31;11;14;12;10;12
45;11;10;7;13;14
44;7;8;12;10;5
70;7;8;10;11;9
56;12;7;12;13;9
12;66;71;68;71;66
68;9;11;12;14;11
70;12;14;12;13;6
21;9;8;8;15;7
68;14;8;8;8;6
68;9;11;7;8;11
31;9;15;11;6;13
60;16;13;10;10;7
17;71;67;61;69;69
72;8;8;12;6;6
67;14;8;9;15;9
65;6;6;7;11;10
72;12;13;6;8;9
64;8;12;9;12;12
25;11;11;6;7;6
40;10;8;9;12;10
72;7;10;8;13;15
66;11;12;14;14;6
37;15;10;8;6;14
36;9;14;15;14;16
62;13;14;10;7;13
12;15;16;15;7;11
64;9;11;9;10;12
68;6;10;8;14;8
20;15;11;14;7;9
76;11;5;8;5;12
38;15;15;13;8;6
73;12;9;15;15;8
72;14;6;16;8;7
44;9;16;6;16;7
68;16;16;10;7;8
66;16;12;12;13;10
71;12;14;8;14;5
13;75;67;56;68;73
55;12;15;10;13;13
16;70;69;65;67;72
72;16;9;6;11;9
22;7;15;13;7;7
12;68;68;66;69;68
67;13;10;7;8;10
11;64;68;69;68;75
59;8;14;9;11;8
71;9;12;14;13;8
18;10;8;15;8;6
66;8;6;5;15;6
57;14;7;11;12;9
30;6;12;14;16;10
66;15;11;12;12;12
70;6;7;6;13;8
71;7;10;13;10;16
25;9;14;10;13;15
52;14;10;13;12;14
70;9;6;14;8;15
33;13;15;15;16;13
23;11;9;14;12;6
60;11;14;6;16;16
33;8;11;7;7;15
17;11;13;14;14;15
13;72;65;66;68;72
50;14;9;12;12;9
64;13;8;12;10;12
31;10;11;10;13;11
66;8;10;8;6;10
65;12;8;7;16;7
64;12;12;15;11;16
13;6;10;16;14;14
14;8;6;12;11;8
37;12;12;11;11;15
67;13;15;9;16;11
32;14;7;7;7;12
70;6;15;10;15;6
72;14;12;6;7;11
9;69;73;58;63;74
67;13;9;7;8;12
70;16;16;10;6;8
26;14;10;6;7;15
27;8;13;16;14;14
57;14;6;15;15;12
62;9;7;12;8;9
74;10;8;10;14;16
61;7;12;6;8;10
35;6;10;11;12;8
15;11;9;16;14;15
61;8;9;7;15;9
67;7;12;15;15;6
22;14;7;10;10;12
58;16;15;12;13;13
65;12;9;10;14;8
72;7;8;13;13;10
71;10;13;13;15;14
71;9;11;8;15;16
70;4;5;6;5;4
27;6;13;7;10;11
66;16;12;10;11;12
17;72;69;68;67;71
70;16;7;12;16;9
62;9;14;11;11;9
71;8;9;9;8;9
70;6;16;11;7;10
73;12;10;15;6;10
14;16;13;15;14;10
66;8;7;14;10;11
54;13;14;12;12;8
31;12;13;14;8;9
42;9;5;8;13;8
68;15;13;14;10;9
71;10;9;9;14;7
70;15;12;9;11;8
67;8;11;15;16;9
38;9;8;16;9;14
50;13;9;14;5;7
64;10;9;15;12;12
28;16;13;13;9;9
66;14;14;14;7;10
36;11;11;10;10;7
70;10;15;8;11;14
20;7;7;10;15;6
48;7;12;14;10;14
65;6;11;14;15;9
69;13;11;15;10;9
68;11;14;10;9;14
42;7;13;7;12;15
33;11;7;7;7;7
14;73;62;67;66;75
67;11;7;9;14;10
27;14;9;6;6;10
65;6;10;13;13;15
72;14;6;6;9;9
12;65;64;61;70;77
45;8;15;9;15;7
69;12;8;13;8;7
70;6;9;10;6;7
14;72;70;70;70;71
36;6;16;10;7;10
49;13;9;13;13;16
23;9;9;14;7;13
46;11;16;6;7;15
69;10;9;8;15;13
65;16;8;6;6;8
64;10;10;15;11;13
71;11;9;7;7;12
67;7;14;7;14;15
68;14;7;12;10;13
53;14;14;8;10;14
66;15;8;15;10;11
64;15;8;6;10;11
30;10;14;10;9;14
69;7;6;7;7;8
71;9;9;10;13;11
34;9;8;13;7;11
63;9;10;7;16;15
53;14;12;10;10;10
45;8;15;12;8;6
15;69;70;66;67;73
68;8;10;9;7;14
67;14;15;13;6;9
42;7;6;14;7;12
68;15;16;12;10;7
68;10;8;12;14;7
63;7;7;7;12;7
16;7;16;9;8;15
74;14;14;10;15;14
21;11;10;12;11;13
40;7;10;14;14;5
69;11;11;5;9;14
40;14;12;16;10;9
38;10;11;14;9;10
34;10;10;6;14;14
69;14;7;6;11;7
14;14;11;11;12;10
58;14;12;6;7;12
68;15;14;15;12;11
41;7;7;8;13;12
66;10;9;12;7;14
33;7;7;8;11;11
67;15;14;9;12;11
66;12;9;9;16;14
70;15;16;12;9;15
12;73;67;57;63;79
65;16;13;14;13;11
38;9;13;12;11;7
55;9;13;12;13;13
62;8;6;15;9;11
64;15;11;11;13;5
71;10;13;8;13;10
69;12;8;12;16;16
70;13;13;10;8;7
71;12;11;6;15;11
23;13;10;11;6;10
65;14;11;13;16;12
23;9;11;13;13;15
15;72;64;64;69;75
23;10;11;9;13;12
71;7;14;15;15;9
14;14;14;14;11;14
16;72;70;69;69;68
11;73;64;61;71;74
65;6;14;7;13;12
38;8;14;7;9;11
11;72;67;64;69;71
28;7;9;10;8;14
71;16;8;10;15;8
29;7;13;15;8;15
63;13;10;7;13;13
18;15;10;16;14;14
23;6;14;10;15;14
44;11;10;10;12;14
14;9;12;14;11;10
69;5;12;11;10;12
58;7;9;5;6;13
63;11;12;12;9;15
44;8;13;13;7;11
70;13;7;7;12;7
73;11;6;14;7;15
65;8;13;9;12;6
59;9;8;10;16;15
63;8;15;16;10;14
57;13;11;13;14;9
23;14;6;13;13;7
73;11;9;14;13;6
18;69;67;68;68;70
68;13;13;13;8;15
36;14;16;15;13;13
25;13;15;11;14;9
14;72;68;62;71;73
23;11;12;12;8;14
68;8;7;10;10;6
70;6;12;12;16;6
72;14;16;13;15;15
67;11;15;11;13;11
66;7;7;12;16;12
20;69;65;58;71;75
28;12;14;9;14;12
23;14;11;11;6;9
67;9;16;7;11;11
66;7;12;9;14;11
70;16;8;11;12;13
54;8;7;9;6;6
40;8;7;10;8;9
17;14;7;6;8;15
13;70;69;70;69;70
32;10;11;7;11;6
63;10;14;12;15;13
65;14;14;16;13;10
67;8;10;15;12;6
26;9;9;11;12;11
48;16;9;10;11;14
33;6;16;13;13;15
59;9;10;7;10;7
20;12;9;13;15;10
22;8;11;12;13;9
10;73;71;63;66;71
72;11;13;13;15;9
67;7;14;11;10;14
41;15;11;12;10;6
67;6;12;10;11;15
68;8;9;12;12;12
46;14;10;9;12;14
69;15;8;9;8;14
18;6;6;14;10;8
23;9;6;12;8;12
61;13;12;9;14;9
75;8;11;13;13;13
53;11;11;5;11;12
22;13;10;8;12;7
69;12;12;15;13;14
66;16;7;16;8;7
23;9;11;10;12;10
55;12;16;10;14;11
18;6;12;11;6;10
48;11;8;7;9;15
24;16;8;12;7;8
64;13;11;15;12;6
67;11;10;12;16;14
66;12;13;9;11;16
28;7;9;14;10;15
33;14;7;8;12;10
65;9;11;14;11;16
65;7;14;7;8;11
37;11;6;13;11;8
19;15;7;10;10;9
69;8;14;15;14;7
19;72;70;58;64;73
55;11;9;11;8;13
12;68;70;63;68;70
25;15;7;7;15;7
59;13;10;6;10;9
69;13;13;13;10;11
32;16;6;16;7;10
67;14;16;11;13;13
17;8;13;14;14;7
64;10;9;9;6;10
66;9;10;10;10;14
73;8;8;13;10;6
62;7;10;13;6;11
72;11;13;13;8;13
70;9;12;9;7;14
70;9;10;9;13;7
70;12;14;5;15;11
53;8;12;12;10;13
67;16;15;7;14;15
34;9;16;13;12;9
25;9;13;11;9;9
51;9;16;14;15;8
32;10;13;5;12;13
22;4;4;4;4;4
69;16;10;10;9;14
69;10;12;6;16;7
23;11;7;7;9;9
17;71;71;67;70;70
70;6;16;14;7;6
71;7;12;12;11;13
20;12;11;10;11;10
23;10;12;7;10;7
12;75;65;76;67;72
31;12;16;15;8;8
76;4;4;4;4;4
23;12;8;8;12;10
20;67;69;69;69;69
12;66;72;69;75;69
69;8;6;8;8;12
29;14;8;5;12;13
65;10;8;7;13;13
20;16;12;18;13;12
72;10;7;10;14;6
68;14;12;7;6;8
63;9;15;9;9;8
15;68;76;57;71;69
16;15;8;9;7;10
63;11;6;13;9;8
27;13;11;7;7;15
63;13;8;13;8;13
52;8;13;7;14;8
25;8;11;5;10;13
59;11;11;9;12;13
58;5;6;14;11;12
72;8;14;6;13;12
60;14;8;15;8;18
67;13;15;9;16;14
36;14;13;11;15;5
65;12;6;13;7;12
20;14;14;10;9;6
38;7;14;6;13;8
60;8;12;7;8;7
72;8;11;9;10;16
66;8;11;9;7;16
63;15;16;13;13;8
67;7;6;12;9;8
44;5;8;11;13;12
29;7;13;14;6;12
73;16;6;16;9;13
18;11;9;8;8;7
66;8;9;7;8;6
67;13;15;7;12;11
33;9;12;13;12;11
56;14;6;9;11;11
16;69;66;73;71;71
51;11;16;9;11;8
12;8;13;11;6;8
71;16;15;13;8;15
69;13;11;11;10;5
28;13;15;9;14;13
79;13;13;13;8;15
11;68;65;70;68;74
33;13;14;15;16;11
15;71;69;68;68;72
12;71;65;67;68;75
71;11;14;9;9;6
76;11;10;6;16;14
40;8;8;7;9;6
70;9;10;7;7;4
24;9;9;9;11;10
26;10;10;13;11;13
22;16;6;12;14;9
64;15;6;7;12;7
71;15;6;14;9;12
55;14;15;8;10;10
37;10;14;13;8;10
67;9;7;10;16;7
21;14;14;7;15;12
58;6;11;9;15;14
67;11;11;12;12;19
36;9;15;16;13;7
49;16;11;11;10;16
17;70;68;60;70;70
17;72;64;68;64;75
29;14;14;9;13;14
74;14;14;13;10;6
24;8;7;13;13;11
16;9;11;8;11;8
37;10;6;15;12;6
62;12;15;9;16;10
20;12;15;12;15;14
43;6;11;8;14;10
34;12;10;7;9;14
70;8;10;13;10;9
70;7;7;15;13;11
72;12;6;12;11;6
65;11;14;9;14;12
12;72;67;63;67;71
36;8;16;11;10;9
65;16;10;15;13;11
54;6;12;9;7;8
31;9;7;9;13;10
62;6;10;6;7;10
69;10;14;6;11;8
64;9;12;8;15;13
30;12;9;9;9;7
16;71;64;71;68;73
46;7;14;8;14;15
67;12;14;12;15;9
48;12;11;14;8;16
65;10;15;6;14;7
69;6;6;6;7;14
27;8;13;15;9;11
46;13;7;11;7;13
70;7;8;12;16;11
66;14;10;14;9;9
31;9;11;8;12;10
64;14;14;14;11;13
66;13;12;6;7;13
71;7;14;6;12;10
51;9;10;16;15;8
64;14;14;10;14;5
61;7;11;16;15;6
61;14;10;10;7;8
73;15;14;7;10;7
70;14;10;6;13;14
64;15;15;16;9;13
42;15;13;11;12;15
66;7;14;13;15;9
21;10;9;14;12;8
32;6;13;13;16;16
72;12;14;8;13;11
32;13;11;10;9;13
34;15;16;13;13;13
19;11;12;9;14;13
68;9;14;8;11;9
20;7;7;13;9;12
71;7;8;15;9;11
25;15;15;14;11;7
19;70;67;62;70;70
59;8;15;12;9;8
11;15;15;11;6;7
68;16;10;13;11;7
71;8;16;10;9;10
13;15;9;8;7;11
67;13;10;7;11;11
37;10;16;11;11;8
65;12;11;12;6;12
69;7;9;6;10;10
11;74;62;74;67;76
74;11;9;15;14;15
70;6;7;6;11;16
47;7;15;14;9;6
14;6;10;13;14;9
44;11;11;15;14;7
67;11;11;7;13;8
65;9;10;10;7;14
67;15;7;13;12;14
78;6;8;14;6;9
70;12;13;7;13;11
68;10;13;15;10;8
57;9;7;12;12;15
38;15;15;15;7;10
59;13;7;9;9;10
40;13;8;8;9;12
60;9;11;16;6;13
70;14;9;10;10;14
17;15;9;16;14;7
52;12;9;14;11;8
70;8;11;9;8;12
65;13;15;11;10;13
69;12;12;8;6;10
65;11;15;11;9;11
40;12;10;14;14;7
22;11;11;11;7;11
69;13;7;9;9;11
66;13;7;12;10;11
48;11;8;10;6;11
14;9;12;7;12;7
26;11;14;6;14;6
15;11;8;7;14;12
44;9;12;7;7;8
14;8;6;15;11;6
14;12;9;6;12;11
61;9;15;6;7;8
70;12;11;9;12;10
70;11;12;14;9;12
72;5;7;13;5;11
65;7;14;9;9;14
15;6;8;8;10;12
24;6;11;14;9;9
68;10;9;11;8;6
74;6;15;15;7;9
11;67;69;61;67;73
25;12;14;15;12;11
37;9;14;14;15;8
72;7;13;7;15;6
18;10;8;13;8;10
67;6;6;6;10;7
67;13;10;12;10;15
52;8;8;6;15;10
16;15;10;14;13;5
67;7;8;15;7;13
16;71;67;66;70;72
72;10;10;5;9;11
18;12;8;8;12;6
11;5;14;11;5;10
68;15;9;9;16;6
69;9;12;13;16;8
68;15;9;11;15;10
23;10;9;13;11;7
65;8;10;14;13;15
64;15;7;10;13;10
64;15;15;11;9;15
31;15;14;8;8;15
32;7;8;8;7;15
21;11;13;14;6;12
59;9;16;6;9;9
31;12;6;10;13;14
47;10;15;11;16;8
9;74;64;62;68;73
26;13;10;10;7;11
24;10;7;6;12;14
62;10;14;13;11;16
45;6;12;14;12;11
14;16;14;11;16;16
50;13;8;11;16;10
70;15;8;9;9;8
72;13;7;12;10;6
68;14;14;13;13;13
10;67;68;66;70;72
20;11;8;9;15;12
41;7;15;15;16;8
14;13;10;13;16;9
71;12;13;6;11;15
66;16;12;15;15;15
16;15;7;6;9;14
27;6;6;6;11;6
27;9;13;10;7;13
67;8;7;9;14;16
68;13;10;10;9;10
69;12;10;11;12;15
70;12;8;7;14;8
60;12;12;13;14;12
66;5;15;7;6;13
18;10;7;16;13;11
58;10;10;6;11;14
53;7;10;15;9;7
35;13;11;12;15;13
53;15;6;8;9;8
29;5;9;8;8;7
26;14;15;10;15;10
70;11;9;7;6;13
69;15;11;7;12;14
69;15;12;12;13;7
72;8;9;13;8;13
74;15;16;14;16;6
16;12;8;9;8;12
31;11;6;6;10;14
67;12;14;6;7;12
49;7;14;13;8;11
17;15;16;13;14;13
62;16;11;12;7;15
19;15;7;15;14;11
59;13;14;16;14;16
39;10;9;9;11;8
51;14;13;14;7;9
69;9;11;11;10;11
52;13;15;10;16;7
27;14;13;9;14;10
54;9;12;8;11;8
71;15;8;11;14;14
17;74;72;75;68;70
51;13;6;9;12;10
63;12;6;14;15;9
72;14;12;15;14;10
65;15;12;6;10;9
65;8;10;9;14;14
12;71;67;69;70;71
27;11;14;8;16;15
38;12;10;14;6;13
70;5;15;12;10;11
70;8;9;16;8;7
69;15;9;6;13;10
67;8;11;7;11;7
59;15;16;6;13;10
17;12;14;13;6;16
72;15;9;12;15;8
59;11;16;13;8;14
69;10;11;16;9;15
68;11;10;14;13;15
66;6;10;11;7;11
73;7;15;8;11;12
36;6;13;9;15;6
71;11;14;16;15;11
31;7;7;12;15;11
12;69;68;70;68;72
64;9;7;11;13;9
64;9;15;13;6;15
27;8;15;11;7;11
55;13;11;11;7;6
70;12;9;11;15;7
10;7;7;12;13;15
72;6;13;14;14;5
16;69;68;68;71;70
31;16;6;9;7;7
60;9;15;9;9;8
64;13;16;9;16;12
64;10;7;12;15;15
64;14;8;8;15;7
65;12;12;14;14;13
54;8;11;13;10;15
69;8;7;14;13;15
71;11;8;7;9;12
69;10;9;10;7;9
67;11;9;15;13;7
31;10;12;14;7;7
63;9;12;9;10;12
24;13;10;6;8;6
23;7;11;10;9;11
75;7;15;8;10;6
69;7;9;7;11;14
43;7;10;9;13;12
38;8;9;8;8;14
69;6;9;9;9;14
69;11;8;11;15;12
71;10;15;8;9;13
57;14;14;11;10;9
35;10;6;13;11;7
64;12;12;6;8;13
71;6;9;14;10;12
70;10;13;9;7;6
51;10;10;15;8;6
30;6;16;10;14;12
12;10;11;13;10;11
66;14;15;12;7;15
59;12;9;8;9;8
43;7;7;13;11;7
35;10;9;8;10;10
72;14;8;11;8;14
34;15;16;15;8;15
62;8;12;9;7;8
73;11;11;8;11;7
71;10;9;13;6;12
16;12;13;8;11;9
15;69;68;73;75;66
61;10;15;10;9;11
70;7;10;13;7;15
58;12;15;10;13;7
12;9;10;8;12;9
62;14;7;8;11;14
29;6;14;12;6;9
55;15;14;15;6;12
71;8;8;14;16;10
67;13;7;14;5;7
66;14;8;14;10;10
77;10;10;12;11;11
42;6;10;10;13;5
70;15;14;8;13;10
15;73;64;58;71;72
68;15;14;5;13;7
57;7;6;14;10;15
59;12;9;6;16;10
66;7;12;10;10;6
70;10;15;10;14;6
71;11;8;13;12;15
38;11;12;10;16;13
72;13;8;6;13;15
31;14;14;10;9;13
69;8;12;11;13;15
35;11;9;7;15;8
26;12;9;6;10;16
63;8;16;9;12;12
31;16;11;13;16;9
63;12;6;6;11;15
38;8;6;13;12;11
62;6;12;7;6;14
70;9;11;13;8;12
55;12;8;14;12;15
28;10;14;8;12;14
72;9;11;12;12;6
35;12;11;15;10;6
14;12;10;6;12;11
20;7;8;12;12;14
57;16;8;9;10;7
11;69;69;67;72;70
18;6;13;6;9;14
12;71;62;59;71;73
67;7;15;7;10;15
70;15;13;14;7;15
67;9;9;8;10;11
70;9;10;5;6;8
66;9;10;11;13;10
74;12;14;11;8;8
18;14;16;10;9;9
51;13;13;11;12;9
24;12;13;10;14;7
68;11;12;12;14;13
44;8;16;10;13;8
28;9;7;13;15;8
76;15;12;11;12;7
69;12;14;6;15;11
63;8;9;9;14;15
64;10;16;14;7;15
45;15;7;11;10;9
70;14;6;14;7;11
17;68;69;62;67;74
21;16;15;8;8;11
66;10;16;7;13;14
8;72;71;73;68;72
59;13;14;10;11;12
19;14;14;9;9;11
31;11;15;12;5;9
44;11;16;9;13;6
67;6;10;6;9;6
68;10;13;15;12;15
61;13;10;11;15;10
15;74;63;62;70;78
61;9;9;6;8;12
46;7;6;14;8;11
15;72;65;63;68;72
12;71;68;60;68;72
72;10;6;11;7;13
41;13;11;12;8;9
63;7;15;13;8;9
67;11;6;7;15;11
69;9;10;14;13;7
67;10;7;9;7;12
74;9;9;12;8;8
26;12;9;12;11;13
67;12;8;16;9;16
68;12;6;8;6;11
73;11;9;9;12;14
22;13;11;6;14;8
55;8;11;9;8;10
41;6;7;7;8;7
62;10;6;11;12;5
65;13;15;7;10;8
63;6;7;6;15;8
28;6;14;7;15;15
68;12;14;9;8;13
14;13;10;10;7;12
67;15;11;14;10;10
71;8;16;14;8;11
69;11;7;8;8;10
66;11;6;14;12;14
70;11;11;8;10;9
68;8;8;9;7;10
69;7;7;9;13;14
22;9;10;14;6;10
61;10;14;13;10;15
65;8;8;9;14;10
28;9;7;6;16;13
21;13;13;16;12;9
71;12;8;13;7;9
14;72;69;67;68;72
67;9;14;6;11;11
72;5;14;5;7;7
32;12;10;11;7;7
67;7;7;7;6;16
61;9;7;6;7;11
65;9;15;8;6;6
19;9;8;14;7;13
71;6;11;11;13;9
27;11;9;11;15;11
67;16;13;14;12;6
71;12;9;11;15;6
64;8;13;8;10;8
65;11;13;11;16;6
28;13;12;8;13;16
69;11;10;13;6;13
66;13;15;6;8;5
37;12;13;14;15;6
21;15;12;8;15;8
13;68;72;61;67;71
19;13;6;14;10;6
61;9;8;12;12;7
24;14;10;12;14;6
63;11;13;8;9;13
52;9;15;8;6;8
26;14;6;13;10;13
11;9;15;6;8;9
37;7;10;7;13;8
68;10;13;16;16;11
